,APT_NAME,YEAR,FLT_TOT_1
414,Paris-Charles-de-Gaulle,2016,479199
432,Paris-Orly,2016,237708
396,Nice-Côte d’Azur,2016,139549
351,Lyon-Saint-Exupéry,2016,110638
360,Marseille-Provence,2016,96281
415,Paris-Charles-de-Gaulle,2017,482678
433,Paris-Orly,2017,232139
397,Nice-Côte d’Azur,2017,142623
352,Lyon-Saint-Exupéry,2017,112331
536,Toulouse-Blagnac,2017,98991
416,Paris-Charles-de-Gaulle,2018,488117
434,Paris-Orly,2018,232374
398,Nice-Côte d’Azur,2018,143599
353,Lyon-Saint-Exupéry,2018,113434
362,Marseille-Provence,2018,97770
417,Paris-Charles-de-Gaulle,2019,504887
435,Paris-Orly,2019,221602
399,Nice-Côte d’Azur,2019,145645
354,Lyon-Saint-Exupéry,2019,116451
363,Marseille-Provence,2019,102011
418,Paris-Charles-de-Gaulle,2020,220741
436,Paris-Orly,2020,84666
400,Nice-Côte d’Azur,2020,66318
364,Marseille-Provence,2020,47404
355,Lyon-Saint-Exupéry,2020,45173
419,Paris-Charles-de-Gaulle,2021,256094
437,Paris-Orly,2021,120598
401,Nice-Côte d’Azur,2021,94252
365,Marseille-Provence,2021,59699
356,Lyon-Saint-Exupéry,2021,54765
420,Paris-Charles-de-Gaulle,2022,409376
438,Paris-Orly,2022,198721
402,Nice-Côte d’Azur,2022,135138
366,Marseille-Provence,2022,91476
357,Lyon-Saint-Exupéry,2022,80580
421,Paris-Charles-de-Gaulle,2023,455146
439,Paris-Orly,2023,208708
403,Nice-Côte d’Azur,2023,145941
367,Marseille-Provence,2023,100469
358,Lyon-Saint-Exupéry,2023,89517
422,Paris-Charles-de-Gaulle,2024,466770
440,Paris-Orly,2024,206894
404,Nice-Côte d’Azur,2024,148910
368,Marseille-Provence,2024,100638
359,Lyon-Saint-Exupéry,2024,91461
